地域階層,地域コード,地域,年齢階層,年齢,総数／計(人),総数／男(人),総数／女(人),日本人／計(人),日本人／男(人),日本人／女(人),外国人／計(人),外国人／男(人),外国人／女(人)
0,13000,総数,0,総数,14077552,6909535,7168017,13293851,6515334,6778517,783701,394201,389500
0,13000,総数,1,0～4,445472,228167,217305,424220,217055,207165,21252,11112,10140
0,13000,総数,1,5～9,512664,262051,250613,490767,250898,239869,21897,11153,10744
0,13000,総数,1,10～14,546090,279358,266732,524994,268405,256589,21096,10953,10143
0,13000,総数,1,15～19,571356,292604,278752,536003,273888,262115,35353,18716,16637
0,13000,総数,1,20～24,812164,408344,403820,698840,347753,351087,113324,60591,52733
0,13000,総数,1,25～29,1056360,532833,523527,925093,463701,461392,131267,69132,62135
0,13000,総数,1,30～34,982817,497256,485561,875966,441562,434404,106851,55694,51157
0,13000,総数,1,35～39,924532,467969,456563,839769,424426,415343,84763,43543,41220
0,13000,総数,1,40～44,980663,499488,481175,916037,467296,448741,64626,32192,32434
0,13000,総数,1,45～49,1040775,527980,512795,992144,504452,487692,48631,23528,25103
0,13000,総数,1,50～54,1154016,580229,573787,1115308,562606,552702,38708,17623,21085
0,13000,総数,1,55～59,1033095,525274,507821,1000060,511353,488707,33035,13921,19114
0,13000,総数,1,60～64,858511,436987,421524,833227,426454,406773,25284,10533,14751
0,13000,総数,1,65～69,662025,329444,332581,646473,323054,323419,15552,6390,9162
0,13000,総数,1,70～74,631039,302575,328464,621240,298468,322772,9799,4107,5692
0,13000,総数,1,75～79,724243,327315,396928,718325,324665,393660,5918,2650,3268
0,13000,総数,1,80～84,526284,212946,313338,522968,211580,311388,3316,1366,1950
0,13000,総数,1,85～89,361498,129480,232018,359563,128798,230765,1935,682,1253
0,13000,総数,1,90～94,191969,56760,135209,191150,56531,134619,819,229,590
0,13000,総数,1,95～99,53672,11407,42265,53447,11339,42108,225,68,157
0,13000,総数,1,100以上,8307,1068,7239,8257,1050,7207,50,18,32
