国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,令和7年中の増減
総数,0,13000,総数,-569,-1077,-2455,1820,348,-523,885,-640,-108,1005,-1410,1523,-1201
総数,1,13100,区部,-685,-931,-1524,30,-114,-1023,-133,-1133,-925,301,-1853,-7,-7997
総数,1,13200,市部,113,-138,-456,1385,425,500,1000,479,798,635,425,1523,6689
総数,2,13300,郡部,11,3,18,32,36,20,20,22,32,72,25,17,308
総数,2,13350,島部,-8,-11,-493,373,1,-20,-2,-8,-13,-3,-7,-10,-201
総数,1,13100,区部,-685,-931,-1524,30,-114,-1023,-133,-1133,-925,301,-1853,-7,-7997
総数,4,13101,千代田区,-26,-32,-129,-69,-49,-41,-41,-96,5,17,-119,-64,-644
総数,4,13102,中央区,103,-25,-45,-203,-104,-79,-37,-140,400,363,79,107,419
総数,4,13103,港区,-93,-106,-197,-134,-80,-73,-79,-106,-194,-106,-137,-128,-1433
総数,4,13104,新宿区,-243,-463,-588,-517,-243,-178,-244,-390,-459,-413,-570,-284,-4592
総数,4,13105,文京区,-45,-115,-356,20,-88,-151,-65,-144,-145,13,-60,22,-1114
総数,4,13106,台東区,6,7,-170,-198,-144,-230,-8,-79,-124,-209,-30,-107,-1286
総数,4,13107,墨田区,-163,-27,-251,-128,13,-48,-95,-79,-136,-131,-116,-48,-1209
総数,4,13108,江東区,-88,10,-97,-179,-93,-143,-104,-136,-206,-160,-97,-25,-1318
総数,4,13109,品川区,73,-74,29,-141,65,-55,-112,-84,-60,29,-127,1,-456
総数,4,13110,目黒区,-40,-34,-77,73,-33,-37,-13,-83,-160,-181,-24,13,-596
総数,4,13111,大田区,-71,160,323,91,103,191,27,28,122,166,-187,88,1041
総数,4,13112,世田谷区,103,-172,337,381,182,47,43,31,206,187,-133,73,1285
総数,4,13113,渋谷区,-63,-101,-134,-203,-227,-157,-116,-86,-225,-204,-227,-230,-1973
総数,4,13114,中野区,-209,-238,-253,-91,17,-138,-263,-249,-183,-155,-201,-98,-2061
総数,4,13115,杉並区,-101,52,16,98,125,-86,136,12,-26,79,-136,-24,145
