国籍区分,地域階層,地域コード,地域,1月中／出生数,2月中／出生数,3月中／出生数,4月中／出生数,5月中／出生数,6月中／出生数,7月中／出生数,8月中／出生数,9月中／出生数,10月中／出生数,11月中／出生数,12月中／出生数,令和7年中の出生数
総数,0,13000,総数,7410,6292,6385,7260,7772,7666,8122,7764,7919,8119,7099,7378,89186
総数,1,13100,区部,5437,4635,4679,5328,5770,5657,5976,5725,5853,6022,5156,5452,65690
総数,1,13200,市部,1938,1634,1686,1909,1981,1986,2122,2013,2036,2067,1920,1912,23204
総数,2,13300,郡部,29,16,16,16,16,15,15,20,24,22,14,11,214
総数,2,13350,島部,6,7,4,7,5,8,9,6,6,8,9,3,78
総数,1,13100,区部,5437,4635,4679,5328,5770,5657,5976,5725,5853,6022,5156,5452,65690
総数,4,13101,千代田区,45,33,32,47,63,59,44,49,46,51,40,40,549
総数,4,13102,中央区,160,120,145,133,154,161,174,195,145,212,142,179,1920
総数,4,13103,港区,204,183,158,193,222,216,217,227,210,236,183,189,2438
総数,4,13104,新宿区,184,134,158,159,198,191,191,156,193,222,166,180,2132
総数,4,13105,文京区,140,111,118,143,148,151,196,151,161,175,144,123,1761
総数,4,13106,台東区,147,128,116,111,146,140,138,133,132,160,140,144,1635
総数,4,13107,墨田区,200,157,155,176,184,198,208,190,220,205,204,185,2282
総数,4,13108,江東区,316,224,283,300,305,302,339,301,346,297,297,312,3622
総数,4,13109,品川区,239,229,227,259,318,270,280,290,265,286,233,228,3124
総数,4,13110,目黒区,164,164,144,177,180,196,183,196,152,187,155,170,2068
総数,4,13111,大田区,391,313,354,401,399,381,423,402,469,437,380,421,4771
総数,4,13112,世田谷区,473,428,432,480,510,527,555,565,530,544,455,483,5982
総数,4,13113,渋谷区,142,140,117,147,132,143,141,127,145,152,120,140,1646
総数,4,13114,中野区,189,176,137,188,185,195,173,190,197,188,164,184,2166
総数,4,13115,杉並区,290,255,255,280,329,317,341,325,312,341,302,316,3663
総数,4,13116,豊島区,156,138,106,132,187,143,167,158,162,173,158,166,1846
総数,4,13117,北区,212,179,168,206,215,233,260,194,232,199,199,183,2480
総数,4,13118,荒川区,100,105,112,119,160,135,136,117,139,133,126,118,1500
総数,4,13119,板橋区,303,247,247,259,295,279,322,324,333,316,288,287,3500
総数,4,13120,練馬区,410,328,355,406,461,401,480,436,456,463,368,396,4960
総数,4,13121,足立区,350,302,314,390,366,354,348,373,364,378,318,350,4207
総数,4,13122,葛飾区,262,214,221,232,247,264,267,254,266,248,224,255,2954
総数,4,13123,江戸川区,360,327,325,390,366,401,393,372,378,419,350,403,4484
総数,1,13200,市部,1938,1634,1686,1909,1981,1986,2122,2013,2036,2067,1920,1912,23204
総数,4,13201,八王子市,207,188,191,208,212,204,242,207,202,240,236,202,2539
総数,4,13202,立川市,83,75,80,97,109,102,97,95,98,101,83,92,1112
総数,4,13203,武蔵野市,73,63,64,81,83,80,87,65,70,82,61,71,880
総数,4,13204,三鷹市,99,83,80,92,86,80,95,92,105,92,83,98,1085
総数,4,13205,青梅市,47,35,36,47,40,37,56,50,47,44,45,43,527
総数,4,13206,府中市,150,108,119,123,120,132,132,132,142,131,127,127,1543
総数,4,13207,昭島市,61,45,48,50,58,68,77,61,50,68,62,65,713
総数,4,13208,調布市,113,106,106,105,128,138,141,118,125,131,141,139,1491
総数,4,13209,町田市,169,158,167,176,190,181,209,213,197,190,180,188,2218
総数,4,13210,小金井市,85,56,61,72,82,102,76,86,70,95,68,77,930
