国籍区分,地域階層,地域コード,地域,1月中／死亡数,2月中／死亡数,3月中／死亡数,4月中／死亡数,5月中／死亡数,6月中／死亡数,7月中／死亡数,8月中／死亡数,9月中／死亡数,10月中／死亡数,11月中／死亡数,12月中／死亡数,令和7年中の死亡数
総数,0,13000,総数,16873,12050,12601,11431,10925,9953,10725,10678,10919,11406,10743,12124,140428
総数,1,13100,区部,11076,7795,8248,7571,7228,6575,7202,7026,7130,7468,7088,7972,92379
総数,1,13200,市部,5638,4120,4224,3754,3571,3277,3416,3543,3669,3816,3529,4006,46563
総数,2,13300,郡部,114,98,90,75,93,79,83,80,87,93,89,112,1093
総数,2,13350,島部,45,37,39,31,33,22,24,29,33,29,37,34,393
総数,1,13100,区部,11076,7795,8248,7571,7228,6575,7202,7026,7130,7468,7088,7972,92379
総数,4,13101,千代田区,44,43,40,35,35,37,39,44,33,44,33,36,463
総数,4,13102,中央区,123,105,102,73,85,76,77,93,86,98,92,91,1101
総数,4,13103,港区,207,157,167,147,155,118,135,126,127,160,124,154,1777
総数,4,13104,新宿区,353,255,232,298,230,191,238,232,243,243,209,265,2989
総数,4,13105,文京区,225,149,178,154,142,119,156,146,138,159,151,127,1844
総数,4,13106,台東区,267,155,176,162,163,148,176,148,162,147,160,167,2031
総数,4,13107,墨田区,307,247,271,210,193,209,241,180,194,215,235,234,2736
総数,4,13108,江東区,579,396,437,387,379,362,340,352,348,389,367,384,4720
総数,4,13109,品川区,445,272,332,297,244,277,292,276,301,306,267,287,3596
総数,4,13110,目黒区,284,191,193,222,194,169,158,160,191,192,191,176,2321
総数,4,13111,大田区,883,645,673,607,544,495,590,562,604,620,577,604,7404
総数,4,13112,世田谷区,906,629,718,618,654,570,579,613,560,611,536,771,7765
総数,4,13113,渋谷区,215,123,176,156,158,144,162,128,146,158,136,168,1870
総数,4,13114,中野区,377,282,283,248,234,207,244,248,249,247,231,272,3122
総数,4,13115,杉並区,570,442,445,411,397,364,410,401,387,383,412,437,5059
総数,4,13116,豊島区,275,224,202,219,226,176,196,204,209,229,183,227,2570
総数,4,13117,北区,488,334,364,287,318,273,295,305,288,327,283,369,3931
総数,4,13118,荒川区,298,186,221,208,176,165,204,162,176,160,187,190,2333
総数,4,13119,板橋区,752,490,511,518,475,423,475,476,475,481,480,535,6091
総数,4,13120,練馬区,896,623,635,590,553,505,600,590,560,580,622,635,7389
総数,4,13121,足立区,1104,761,768,712,699,615,647,614,664,741,671,749,8745
総数,4,13122,葛飾区,658,466,471,436,417,400,389,429,432,414,412,474,5398
総数,4,13123,江戸川区,820,620,653,576,557,532,559,537,557,564,529,620,7124
総数,1,13200,市部,5638,4120,4224,3754,3571,3277,3416,3543,3669,3816,3529,4006,46563
総数,4,13201,八王子市,881,573,634,594,531,490,504,531,556,582,499,630,7005
総数,4,13202,立川市,236,194,172,170,168,150,147,152,157,156,155,142,1999
総数,4,13203,武蔵野市,135,122,125,98,93,86,106,105,94,98,109,108,1279
総数,4,13204,三鷹市,224,145,183,154,157,110,119,160,144,171,131,148,1846
総数,4,13205,青梅市,253,187,187,165,123,143,155,152,147,153,159,171,1995
総数,4,13206,府中市,325,215,242,199,179,173,186,203,223,200,220,215,2580
総数,4,13207,昭島市,157,108,138,108,100,102,91,113,102,117,101,120,1357
総数,4,13208,調布市,274,198,202,175,179,163,166,166,163,172,150,197,2205
総数,4,13209,町田市,627,448,464,415,394,339,367,377,443,422,396,458,5150
総数,4,13210,小金井市,151,100,93,77,91,65,97,96,92,72,80,92,1106
総数,4,13211,小平市,245,200,169,162,141,137,172,147,170,186,153,174,2056
総数,4,13212,日野市,203,198,173,148,152,139,141,147,142,159,145,184,1931
総数,4,13213,東村山市,219,192,165,143,131,133,143,124,142,145,140,158,1835
総数,4,13214,国分寺市,148,108,108,91,89,92,71,80,75,93,96,111,1162
総数,4,13215,国立市,88,63,64,66,59,61,64,69,65,74,55,42,770
総数,4,13218,福生市,87,70,65,66,60,46,56,55,60,61,57,72,755
総数,4,13219,狛江市,102,82,83,48,69,61,72,70,69,83,61,74,874
総数,4,13220,東大和市,110,101,109,78,84,69,71,70,67,86,76,86,1007
総数,4,13221,清瀬市,117,74,81,89,65,69,73,94,65,62,70,74,933
総数,4,13222,東久留米市,183,116,121,125,108,81,122,104,119,106,107,149,1441
総数,4,13223,武蔵村山市,115,71,85,66,82,60,62,68,77,70,66,79,901
総数,4,13224,多摩市,189,135,142,112,145,131,112,119,128,136,140,138,1627
