国籍区分,地域階層,地域コード,地域,1月中／その他の増減,2月中／その他の増減,3月中／その他の増減,4月中／その他の増減,5月中／その他の増減,6月中／その他の増減,7月中／その他の増減,8月中／その他の増減,9月中／その他の増減,10月中／その他の増減,11月中／その他の増減,12月中／その他の増減,令和7年中の増減
総数,0,13000,総数,2737,923,10519,21443,2140,4736,5994,-2001,10437,9884,1286,-2244,65854
総数,1,13100,区部,2819,863,8920,18487,1631,4014,5817,-1399,8823,8282,1216,-2035,57438
総数,1,13200,市部,-86,65,1591,2946,503,730,169,-609,1611,1582,63,-211,8354
総数,2,13300,郡部,1,4,8,3,8,2,-4,4,2,12,4,1,45
総数,2,13350,島部,3,-9,0,7,-2,-10,12,3,1,8,3,1,17
総数,1,13100,区部,2819,863,8920,18487,1631,4014,5817,-1399,8823,8282,1216,-2035,57438
総数,4,13101,千代田区,27,16,64,42,-1,32,6,-20,76,103,18,-83,280
総数,4,13102,中央区,138,111,241,156,39,76,61,-25,162,95,-12,-51,991
総数,4,13103,港区,327,124,297,284,136,118,-1,130,373,224,90,-214,1888
総数,4,13104,新宿区,125,-3,964,2980,197,446,818,-305,1167,910,48,-200,7147
総数,4,13105,文京区,-10,-97,171,647,-9,41,-21,-315,446,307,7,-107,1060
総数,4,13106,台東区,138,65,234,549,10,172,290,-1,209,273,57,-13,1983
総数,4,13107,墨田区,58,33,214,353,40,148,149,24,239,197,-5,-38,1412
総数,4,13108,江東区,205,136,329,469,100,165,113,-155,175,290,53,-85,1795
総数,4,13109,品川区,70,-11,210,192,-12,66,22,-39,163,128,10,-69,730
総数,4,13110,目黒区,14,-11,106,324,0,25,-51,-87,91,313,-18,-96,610
総数,4,13111,大田区,261,119,313,489,198,223,234,-35,314,326,130,24,2596
総数,4,13112,世田谷区,142,-23,625,563,71,192,12,-118,537,270,17,-289,1999
総数,4,13113,渋谷区,119,18,149,248,-16,2,13,-42,162,96,6,-191,564
総数,4,13114,中野区,97,-8,687,1359,-65,231,437,-124,552,474,40,-140,3540
総数,4,13115,杉並区,197,-40,659,829,32,315,394,-166,571,312,31,-127,3007
総数,4,13116,豊島区,32,-64,716,1749,27,269,518,-52,786,531,49,-30,4531
総数,4,13117,北区,88,-43,526,1337,154,231,514,-166,470,512,48,-60,3611
総数,4,13118,荒川区,48,31,207,1092,146,104,325,44,182,460,61,-33,2667
総数,4,13119,板橋区,109,120,509,1101,112,260,406,49,497,540,101,-84,3720
総数,4,13120,練馬区,42,20,512,829,28,188,260,-70,404,295,77,-128,2457
総数,4,13121,足立区,156,163,439,740,157,265,507,86,290,485,142,42,3472
総数,4,13122,葛飾区,249,131,316,953,156,217,401,57,369,584,126,-10,3549
総数,4,13123,江戸川区,187,76,432,1202,131,228,410,-69,588,557,140,-53,3829
総数,1,13200,市部,-86,65,1591,2946,503,730,169,-609,1611,1582,63,-211,8354
総数,4,13201,八王子市,-55,-5,252,608,148,104,99,-192,397,149,-14,-1,1490
総数,4,13202,立川市,-10,21,62,24,20,60,36,-9,25,51,7,-21,266
総数,4,13203,武蔵野市,-36,20,71,48,8,21,32,-16,33,-14,-20,-31,116
総数,4,13204,三鷹市,-11,-6,104,117,-11,-42,-74,20,222,71,-37,-32,321
総数,4,13205,青梅市,9,-12,35,204,24,25,33,-18,22,59,13,5,399
総数,4,13206,府中市,-43,-21,7,310,40,31,-48,-100,57,289,34,-20,536
総数,4,13207,昭島市,43,28,62,66,38,34,28,44,60,95,29,27,554
総数,4,13208,調布市,18,-52,97,180,24,45,30,-47,90,98,-9,-16,458
総数,4,13209,町田市,11,23,121,39,1,52,7,-28,84,3,14,0,327
