地域階層,地域コード,地域,面積（平方キロメートル）,人口／総数（人）,人口／男（人）,人口／女（人）,65歳以上人口の割合（％）,（参考）世帯数（世帯）,小学校児童数（人）,中学校生徒数（人）
0,13000,総数,2199.94,14270748,6997247,7273501,22.48,7662995,616084,313932
1,13100,区部,627.51,9944992,4872962,5072030,21.02,5553390,408041,206979
1,13200,市部,783.95,4250463,2086041,2164422,25.65,2075200,204569,105136
1,13300,郡部,375.86,53185,26473,26712,34.76,22404,2455,1329
1,13350,島部,412.61,22108,11771,10337,35.97,12001,1019,488
2,13101,千代田区,11.66,68777,34610,34167,16.74,38978,5187,6597
2,13102,中央区,10.21,190071,91243,98828,14.24,105297,9618,2422
2,13103,港区,20.36,270470,127890,142580,17.16,154097,12049,9989
2,13104,新宿区,18.22,359931,180606,179325,18.91,238770,10843,6548
2,13105,文京区,11.29,250273,120423,129850,18.6,142571,13850,9549
2,13106,台東区,10.11,225835,115193,110642,20.58,140516,6902,3084
2,13107,墨田区,13.77,285267,140423,144844,20.64,162549,10502,5728
2,13108,江東区,42.99,540872,265044,275828,20.78,286623,24390,9470
2,13109,品川区,22.85,430603,212808,217795,19.58,249281,14679,6314
2,13110,目黒区,14.67,288613,135887,152726,19.66,159632,11036,4950
2,13111,大田区,61.86,756657,377612,379045,22.16,423732,29684,11688
2,13112,世田谷区,58.05,950073,448143,501930,20.59,508446,42167,22284
2,13113,渋谷区,15.11,243865,117549,126316,18.67,153107,9599,5152
2,13114,中野区,15.59,353620,177607,176013,19.55,221112,11844,6836
2,13115,杉並区,34.06,599035,289032,310003,20.93,349152,23525,11154
2,13116,豊島区,13.01,310538,155505,155033,19.1,195515,10536,7883
2,13117,北区,20.61,369079,183539,185540,23.23,206772,14651,7603
2,13118,荒川区,10.16,225829,111858,113971,21.96,123265,8924,4273
2,13119,板橋区,32.22,597060,291330,305730,22.72,338512,23929,11805
2,13120,練馬区,48.08,762276,365022,397254,21.98,394682,34095,15449
2,13121,足立区,53.25,706585,352310,354275,24.17,374659,28678,14027
2,13122,葛飾区,34.8,461343,229210,232133,24.08,234351,20076,9198
2,13123,江戸川区,49.9,698320,350118,348202,21.17,351771,31277,14976
2,13201,八王子市,186.38,576238,289288,286950,27.98,282938,22875,14378
2,13202,立川市,24.36,186582,92213,94369,24.74,95408,8821,3797
2,13203,武蔵野市,10.98,150430,72057,78373,22.72,79720,8040,4490
2,13204,三鷹市,16.42,196412,94388,102024,22.23,99154,9789,4340
2,13205,青梅市,103.31,129813,64919,64894,32.33,59408,5008,2732
2,13206,府中市,29.43,264628,131671,132957,22.59,130058,13514,6296
2,13207,昭島市,17.34,116409,57892,58517,26.35,55927,5806,2783
2,13208,調布市,21.58,246052,118394,127658,21.89,126239,12490,6279
2,13209,町田市,71.55,432307,210571,221736,27.36,202872,21190,11966
2,13210,小金井市,11.3,128617,62972,65645,21.74,65621,6927,3988
2,13211,小平市,20.51,201023,98141,102882,23.9,96204,10853,5265
2,13212,日野市,27.55,192637,95753,96884,24.75,95309,9253,4296
2,13213,東村山市,17.14,152473,74026,78447,27.22,71406,6767,4019
2,13214,国分寺市,11.46,132886,64645,68241,22.12,67195,7076,3065
2,13215,国立市,8.15,77087,37415,39672,24.5,39949,4510,2225
2,13218,福生市,10.16,56343,28250,28093,27.57,29807,2141,1051
2,13219,狛江市,6.39,83670,40420,43250,24.28,43238,3931,1424
2,13220,東大和市,13.42,83585,40656,42929,27.74,38316,4184,2052
2,13221,清瀬市,10.23,77067,36907,40160,27.76,37055,3590,1756
2,13222,東久留米市,12.88,114880,55158,59722,28.88,53424,5881,2759
2,13223,武蔵村山市,15.32,69405,34502,34903,27.07,31501,3613,1844
2,13224,多摩市,21.01,146593,71412,75181,29.36,72082,6660,3740
2,13225,稲城市,17.97,95561,47699,47862,22.14,42703,5422,2311
2,13227,羽村市,9.9,53498,27039,26459,27.13,25075,2401,1288
2,13228,あきる野市,73.47,77559,38267,39292,30.65,33482,3806,2197
2,13229,西東京市,15.75,208708,101386,107322,24.51,101109,10021,4795
2,13303,瑞穂町,16.85,31133,15696,15437,30.09,13754,1390,729
2,13305,日の出町,28.07,16160,7859,8301,36.62,6099,873,499
