地域,地域コード,地域,昭和60／総数(人),昭和60／男(人),昭和60／女(人),昭和61／総数(人),昭和61／男(人),昭和61／女(人),昭和62／総数(人),昭和62／男(人),昭和62／女(人),昭和63／総数(人),昭和63／男(人),昭和63／女(人),昭和64／総数(人),昭和64／男(人),昭和64／女(人),平成2／総数(人),平成2／男(人),平成2／女(人),平成3／総数(人),平成3／男(人),平成3／女(人),平成4／総数(人),平成4／男(人),平成4／女(人),平成5／総数(人),平成5／男(人),平成5／女(人),平成6／総数(人),平成6／男(人),平成6／女(人),平成7／総数(人),平成7／男(人),平成7／女(人),平成8／総数(人),平成8／男(人),平成8／女(人),平成9／総数(人),平成9／男(人),平成9／女(人),平成10／総数(人),平成10／男(人),平成10／女(人),平成11／総数(人),平成11／男(人),平成11／女(人),平成12／総数(人),平成12／男(人),平成12／女(人),平成13／総数(人),平成13／男(人),平成13／女(人),平成14／総数(人),平成14／男(人),平成14／女(人),平成15／総数(人),平成15／男(人),平成15／女(人),平成16／総数(人),平成16／男(人),平成16／女(人),平成17／総数(人),平成17／男(人),平成17／女(人),平成18／総数(人),平成18／男(人),平成18／女(人),平成19／総数(人),平成19／男(人),平成19／女(人),平成20／総数(人),平成20／男(人),平成20／女(人),平成21／総数(人),平成21／男(人),平成21／女(人),平成22／総数(人),平成22／男(人),平成22／女(人),平成23／総数(人),平成23／男(人),平成23／女(人),平成24／総数(人),平成24／男(人),平成24／女(人),平成25／人口総数／総数(人),平成25／人口総数／男(人),平成25／人口総数／女(人),平成25／日本人／総数(人),平成25／日本人／男(人),平成25／日本人／女(人),平成25／外国人／総数(人),平成25／外国人／男(人),平成25／外国人／女(人),平成26／人口総数／総数(人),平成26／人口総数／男(人),平成26／人口総数／女(人),平成26／日本人／総数(人),平成26／日本人／男(人),平成26／日本人／女(人),平成26／外国人／総数(人),平成26／外国人／男(人),平成26／外国人／女(人),平成27／人口総数／総数(人),平成27／人口総数／男(人),平成27／人口総数／女(人),平成27／日本人／総数(人),平成27／日本人／男(人),平成27／日本人／女(人),平成27／外国人／総数(人),平成27／外国人／男(人),平成27／外国人／女(人),平成28／人口総数／総数(人),平成28／人口総数／男(人),平成28／人口総数／女(人),平成28／日本人／総数(人),平成28／日本人／男(人),平成28／日本人／女(人),平成28／外国人／総数(人),平成28／外国人／男(人),平成28／外国人／女(人),平成29／人口総数／総数(人),平成29／人口総数／男(人),平成29／人口総数／女(人),平成29／日本人／総数(人),平成29／日本人／男(人),平成29／日本人／女(人),平成29／外国人／総数(人),平成29／外国人／男(人),平成29／外国人／女(人),平成30／人口総数／総数(人),平成30／人口総数／男(人),平成30／人口総数／女(人),平成30／日本人／総数(人),平成30／日本人／男(人),平成30／日本人／女(人),平成30／外国人／総数(人),平成30／外国人／男(人),平成30／外国人／女(人),平成31／人口総数／総数(人),平成31／人口総数／男(人),平成31／人口総数／女(人),平成31／日本人／総数(人),平成31／日本人／男(人),平成31／日本人／女(人),平成31／外国人／総数(人),平成31／外国人／男(人),平成31／外国人／女(人),令和2／人口総数／総数(人),令和2／人口総数／男(人),令和2／人口総数／女(人),令和2／日本人／総数(人),令和2／日本人／男(人),令和2／日本人／女(人),令和2／外国人／総数(人),令和2／外国人／男(人),令和2／外国人／女(人),令和3／人口総数／総数(人),令和3／人口総数／男(人),令和3／人口総数／女(人),令和3／日本人／総数(人),令和3／日本人／男(人),令和3／日本人／女(人),令和3／外国人／総数(人),令和3／外国人／男(人),令和3／外国人／女(人),令和4／人口総数／総数(人),令和4／人口総数／男(人),令和4／人口総数／女(人),令和4／日本人／総数(人),令和4／日本人／男(人),令和4／日本人／女(人),令和4／外国人／総数(人),令和4／外国人／男(人),令和4／外国人／女(人),令和5／人口総数／総数(人),令和5／人口総数／男(人),令和5／人口総数／女(人),令和5／日本人／総数(人),令和5／日本人／男(人),令和5／日本人／女(人),令和5／外国人／総数(人),令和5／外国人／男(人),令和5／外国人／女(人),令和6／人口総数／総数(人),令和6／人口総数／男(人),令和6／人口総数／女(人),令和6／日本人／総数(人),令和6／日本人／男(人),令和6／日本人／女(人),令和6／外国人／総数(人),令和6／外国人／男(人),令和6／外国人／女(人),令和7／人口総数／総数(人),令和7／人口総数／男(人),令和7／人口総数／女(人),令和7／日本人／総数(人),令和7／日本人／男(人),令和7／日本人／女(人),令和7／外国人／総数(人),令和7／外国人／男(人),令和7／外国人／女(人),令和8／人口総数／総数(人),令和8／人口総数／男(人),令和8／人口総数／女(人),令和8／日本人／総数(人),令和8／日本人／男(人),令和8／日本人／女(人),令和8／外国人／総数(人),令和8／外国人／男(人),令和8／外国人／女(人)
0,13000,総数,11612356,5837114,5775242,11682315,5873396,5808919,11740896,5905397,5835499,11740361,5908098,5832263,11718720,5897900,5820820,11698060,5883398,5814662,11684927,5872424,5812503,11683316,5865617,5817699,11666227,5850386,5815841,11627577,5824125,5803452,11598634,5803315,5795319,11587726,5791829,5795897,11602642,5793911,5808731,11641308,5808485,5832823,11694934,5832504,5862430,11750351,5857130,5893221,11823029,5892229,5930800,11907350,5932231,5975119,11996211,5973910,6022301,12074598,6008358,6066240,12161029,6047173,6113856,12247024,6087228,6159796,12339259,6130991,6208268,12433235,6175811,6257424,12517299,6216067,6301232,12591643,6249973,6341670,12646745,6269830,6376915,12686067,6283796,6402271,13130762,6488590,6642172,12740088,6306859,6433229,390674,181731,208943,13202041,6520891,6681150,12807631,6335735,6471896,394410,185156,209254,13297586,6565648,6731938,12880144,6366590,6513554,417442,199058,218384,13415349,6621602,6793747,12966307,6404647,6561660,449042,216955,232087,13530053,6675004,6855049,13043707,6438100,6605607,486346,236904,249442,13637348,6720970,6916378,13115848,6466115,6649733,521500,254855,266645,13740732,6764646,6976086,13189049,6495215,6693834,551683,269431,282252,13834925,6805301,7029624,13257596,6522813,6734783,577329,282488,294841,13843525,6805319,7038206,13297089,6537442,6759647,546436,267877,278559,13794933,6775557,7019376,13277052,6522919,6754133,517881,252638,265243,13841665,6797186,7044479,13260553,6509894,6750659,581112,287292,293820,13911902,6830918,7080984,13264486,6507674,6756812,647416,323244,324172,14002534,6875972,7126562,13281311,6513029,6768282,721223,362943,358280,14077552,6909535,7168017,13293851,6515334,6778517,783701,394201,389500
1,13100,区部,8223199,4112936,4110263,8243292,4123398,4119894,8251910,4129108,4122802,8205865,4107825,4098040,8150115,4079438,4070677,8091701,4045932,4045769,8045577,4018396,4027181,8012523,3995712,4016811,7969439,3968410,4001029,7913299,3936095,3977204,7871159,3911876,3959283,7846487,3896950,3949537,7846823,3894691,3952132,7863301,3900771,3962530,7892267,3913872,3978395,7921476,3927063,3994413,7967602,3951172,4016430,8023202,3978122,4045080,8081959,4006676,4075283,8129801,4028362,4101439,8183907,4053600,4130307,8247810,4084398,4163412,8318841,4119035,4199806,8387659,4152713,4234946,8451067,4184649,4266418,8502527,4208429,4294098,8541979,4223053,4318926,8575228,4236324,4338904,8951575,4412745,4538830,8624309,4258894,4365415,327266,153851,173415,9016342,4443965,4572377,8685756,4287211,4398545,330586,156754,173832,9102598,4485889,4616709,8751735,4316934,4434801,350863,168955,181908,9205712,4535834,4669878,8827070,4351204,4475866,378642,184630,194012,9302962,4581965,4720997,8892312,4380346,4511966,410650,201619,209031,9396595,4622881,4773714,8956636,4406488,4550148,439959,216393,223566,9486618,4662095,4824523,9021427,4433701,4587726,465191,228394,236797,9570609,4699401,4871208,9084642,4460630,4624012,485967,238771,247196,9572763,4698055,4874708,9115890,4473177,4642713,456873,224878,231995,9522872,4669453,4853419,9092428,4458427,4634001,430444,211026,219418,9569211,4692166,4877045,9083767,4450845,4632922,485444,241321,244123,9643024,4728534,4914490,9100160,4456338,4643822,542864,272196,270668,9730552,4772459,4958093,9125046,4466891,4658155,605506,305568,299938,9796723,4802251,4994472,9140778,4471909,4668869,655945,330342,325603
4,13101,千代田区,57299,28001,29298,55988,27396,28592,54164,26411,27753,51784,25242,26542,49738,24301,25437,48031,23449,24582,46602,22606,23996,44956,21776,23180,43551,20970,22581,41900,20096,21804,41118,19661,21457,40470,19272,21198,40411,19190,21221,39910,18854,21056,39567,18610,20957,39297,18394,20903,39340,18509,20831,39684,18796,20888,39784,18854,20930,41676,19908,21768,42968,20648,22320,43933,21164,22769,44954,21900,23054,45461,22240,23221,46060,22660,23400,47138,23279,23859,47887,23592,24295,48538,23948,24590,52284,26003,26281,49734,24593,25141,2550,1410,1140,54160,26976,27184,51703,25576,26127,2457,1400,1057,56873,28405,28468,54389,27009,27380,2484,1396,1088,58576,29255,29321,56022,27833,28189,2554,1422,1132,59788,29987,29801,57123,28521,28602,2665,1466,1199,61269,30697,30572,58456,29175,29281,2813,1522,1291,63635,31935,31700,60639,30288,30351,2996,1647,1349,65942,33108,32834,62714,31329,31385,3228,1779,1449,67216,33698,33518,64159,32041,32118,3057,1657,1400,67049,33485,33564,64235,32022,32213,2814,1463,1351,67911,34009,33902,64558,32212,32346,3353,1797,1556,68755,34412,34343,64897,32345,32552,3858,2067,1791,68835,34502,34333,64727,32311,32416,4108,2191,1917,69139,34548,34591,64795,32245,32550,4344,2303,2041
4,13102,中央区,88376,43029,45347,87150,42482,44668,85299,41629,43670,82984,40512,42472,80388,39300,41088,78203,38180,40023,75951,36860,39091,75419,36504,38915,74268,35797,38471,73370,35151,38219,72794,34758,38036,72275,34514,37761,72090,34370,37720,72387,34313,38074,73706,34850,38856,76325,36039,40286,79582,37599,41983,83124,39165,43959,86358,40657,45701,89532,42129,47403,93791,44417,49374,99078,47070,52008,102431,48781,53650,105230,50186,55044,110702,52918,57784,113871,54331,59540,116930,55580,61350,120297,57167,63130,128628,61249,67379,123681,58657,65024,4947,2592,2355,132610,63224,69386,127694,60691,67003,4916,2533,2383,138088,65759,72329,132935,63141,69794,5153,2618,2535,142995,68167,74828,137448,65270,72178,5547,2897,2650,149640,71448,78192,143464,68286,75178,6176,3162,3014,156823,74636,82187,149832,71146,78686,6991,3490,3501,162502,77241,85261,154851,73425,81426,7651,3816,3835,168361,80147,88214,159887,75891,83996,8474,4256,4218,170583,81287,89296,162292,77119,85173,8291,4168,4123,171419,81477,89942,163357,77482,85875,8062,3995,4067,174074,82760,91314,164750,78075,86675,9324,4685,4639,176835,84212,92623,166465,79054,87411,10370,5158,5212,187404,89617,97787,174851,83335,91516,12553,6282,6271,191015,91326,99689,177421,84467,92954,13594,6859,6735
4,13103,港区,197165,93900,103265,193536,92185,101351,188683,89945,98738,180858,86282,94576,173161,82515,90646,166846,79307,87539,161082,76439,84643,156522,74090,82432,152784,72065,80719,150791,71070,79721,150341,70887,79454,149716,70498,79218,152320,71459,80861,152630,71499,81131,154370,72154,82216,155394,72575,82819,159246,74261,84985,162691,75891,86800,164171,76550,87621,166954,77673,89281,170971,79610,91361,176781,82312,94469,185610,86615,98995,195066,91234,103832,198859,93056,105803,201543,93979,107564,205599,95828,109771,208397,97371,111026,231538,109445,122093,212685,99457,113228,18853,9988,8865,235337,111138,124199,217233,101568,115665,18104,9570,8534,240585,113643,126942,222165,103853,118312,18420,9790,8630,243977,114992,128985,225491,105157,120334,18486,9835,8651,249242,117353,131889,230250,107365,122885,18992,9988,9004,253639,119273,134366,234117,109060,125057,19522,10213,9309,257426,121326,136100,237369,110800,126569,20057,10526,9531,260379,122925,137454,240065,112247,127818,20314,10678,9636,259036,122111,136925,240318,112362,127956,18718,9749,8969,257183,120947,136236,240254,112215,128039,16929,8732,8197,261615,123068,138547,242276,113177,129099,19339,9891,9448,266306,125353,140953,245028,114470,130558,21278,10883,10395,267780,126062,141718,245166,114494,130672,22614,11568,11046,269877,127056,142821,245976,114829,131147,23901,12227,11674
4,13104,新宿区,325442,161102,164340,323245,160123,163122,319315,158193,161122,311056,154258,156798,304703,151134,153569,295437,146318,149119,287620,142241,145379,280215,138207,142008,274049,134744,139305,269249,132209,137040,266622,130883,135739,264095,129934,134161,262182,129464,132718,262928,129990,132938,263811,130485,133326,263417,130184,133233,264512,131210,133302,265592,131884,133708,268101,133316,134785,270542,134675,135867,273596,136248,137348,275771,137661,138110,277078,138473,138605,278350,139272,139078,281037,140609,140428,282144,141238,140906,283819,141928,141891,284518,142210,142308,321172,160131,161041,287598,143869,143729,33574,16262,17312,324082,161799,162283,289961,144882,145079,34121,16917,17204,327712,164077,163635,291696,145757,145939,36016,18320,17696,334193,167763,166430,295608,147799,147809,38585,19964,18621,338488,170255,168233,297253,148747,148506,41235,21508,19727,342297,171900,170397,299869,149890,149979,42428,22010,20418,346162,173743,172419,303094,151681,151413,43068,22062,21006,348452,174624,173828,305854,152937,152917,42598,21687,20911,345231,173164,172067,307404,153749,153655,37827,19415,18412,341222,170950,170272,307315,153558,153757,33907,17392,16515,346279,173881,172398,306000,152892,153108,40279,20989,19290,349226,175428,173798,305329,152484,152845,43897,22944,20953,352717,177370,175347,304620,152166,152454,48097,25204,22893,355125,178409,176716,303768,151910,151858,51357,26499,24858
4,13105,文京区,192459,93953,98506,191225,93303,97922,189881,92505,97376,186960,90828,96132,183482,89017,94465,179812,87241,92571,176644,85411,91233,174287,84043,90244,172270,82974,89296,170097,81785,88312,168050,80916,87134,166973,80442,86531,166025,79936,86089,165864,79898,85966,166847,80511,86336,168979,81702,87277,170275,82264,88011,172419,83287,89132,174183,84069,90114,175421,84566,90855,177843,85557,92286,180667,86878,93789,183491,88150,95341,185782,89144,96638,187909,90089,97820,189286,90440,98846,191194,91242,99952,192961,91997,100964,201257,95862,105395,194322,92505,101817,6935,3357,3578,204258,97291,106967,197171,93905,103266,7087,3386,3701,207413,98815,108598,199717,95057,104660,7696,3758,3938,210312,100127,110185,201979,96073,105906,8333,4054,4279,213969,101755,112214,204795,97283,107512,9174,4472,4702,217419,103433,113986,207532,98618,108914,9887,4815,5072,221489,105462,116027,210681,100225,110456,10808,5237,5571,226114,107615,118499,214479,102006,112473,11635,5609,6026,226574,107703,118871,216241,102794,113447,10333,4909,5424,226332,107576,118756,216586,102906,113680,9746,4670,5076,229653,109221,120432,217263,103123,114140,12390,6098,6292,232177,110561,121616,218141,103662,114479,14036,6899,7137,235345,112019,123326,219422,104081,115341,15923,7938,7985,236981,112768,124213,219887,104222,115665,17094,8546,8548
4,13106,台東区,178385,88348,90037,176521,87496,89025,174265,86515,87750,171708,85379,86329,168506,83839,84667,166100,82745,83355,164105,81959,82146,162025,81016,81009,160331,80135,80196,158281,79125,79156,156512,78312,78200,154305,77168,77137,153593,76963,76630,152344,76341,76003,151651,76107,75544,151889,76622,75267,152727,77233,75494,153857,78041,75816,155746,78971,76775,156940,79564,77376,158531,80449,78082,160171,81308,78863,161577,81915,79662,162744,82714,80030,165205,84330,80875,166984,85523,81461,168396,86397,81999,169999,87279,82720,185368,94711,90657,172865,88765,84100,12503,5946,6557,187792,96198,91594,174990,89986,85004,12802,6212,6590,189795,97242,92553,176547,90720,85827,13248,6522,6726,191749,98410,93339,177715,91369,86346,14034,7041,6993,193822,99346,94476,179222,92003,87219,14600,7343,7257,196134,100374,95760,181272,92915,88357,14862,7459,7403,199292,101917,97375,183859,94213,89646,15433,7704,7729,202431,103599,98832,186674,95641,91033,15757,7958,7799,203647,104181,99466,188859,96685,92174,14788,7496,7292,203709,103990,99719,189813,96994,92819,13896,6996,6900,207479,105761,101718,191453,97630,93823,16026,8131,7895,212388,108097,104291,193903,98687,95216,18485,9410,9075,216084,109947,106137,195752,99543,96209,20332,10404,9928,217512,110430,107082,196166,99584,96582,21346,10846,10500
4,13107,墨田区,231871,115902,115969,230564,115174,115390,228850,114388,114462,228141,113972,114169,225802,112941,112861,224187,112051,112136,223003,111331,111672,221197,110321,110876,219907,109543,110364,219097,109123,109974,217311,108359,108952,215416,107559,107857,215007,107339,107668,215094,107402,107692,215087,107384,107703,214978,107315,107663,217533,108668,108865,218743,109394,109349,219761,109907,109854,221882,111089,110793,224657,112473,112184,226372,113449,112923,230131,115463,114668,233241,116958,116283,235571,118364,117207,238356,119805,118551,240380,120792,119588,240691,121063,119628,252018,125910,126108,242805,122213,120592,9213,3697,5516,254627,127276,127351,245318,123489,121829,9309,3787,5522,258423,129057,129366,248558,125005,123553,9865,4052,5813,261723,130435,131288,251050,125935,125115,10673,4500,6173,265238,131814,133424,253743,126873,126870,11495,4941,6554,268898,133455,135443,256835,128261,128574,12063,5194,6869,271859,134678,137181,259214,129167,130047,12645,5511,7134,274896,136043,138853,261917,130378,131539,12979,5665,7314,275647,136334,139313,263216,130846,132370,12431,5488,6943,275724,136233,139491,263832,130976,132856,11892,5257,6635,279985,138030,141955,266227,131831,134396,13758,6199,7559,284555,140148,144407,268892,132882,136010,15663,7266,8397,287302,141451,145851,270322,133479,136843,16980,7972,9008,288833,142049,146784,271027,133700,137327,17806,8349,9457
4,13108,江東区,381243,194777,186466,384880,196368,188512,388056,197753,190303,387479,197678,189801,386621,197107,189514,382731,194639,188092,379361,192959,186402,376266,190804,185462,373925,189138,184787,369728,186811,182917,366056,184750,181306,361127,182179,178948,360007,181603,178404,363512,183072,180440,366512,184607,181905,369621,186223,183398,375389,189086,186303,382172,192483,189689,389070,195763,193307,397150,199477,197673,403677,202545,201132,415866,208180,207686,422993,211552,211441,428294,214210,214084,436795,218264,218531,446393,223072,223321,450950,225159,225791,455366,227049,228317,480271,238407,241864,459382,228914,230468,20889,9493,11396,487142,241805,245337,465908,232088,233820,21234,9717,11517,493952,245017,248935,471186,234482,236704,22766,10535,12231,501501,248540,252961,477172,237170,240002,24329,11370,12959,506511,250950,255561,480434,238630,241804,26077,12320,13757,513197,253839,259358,485299,240626,244673,27898,13213,14685,518479,256116,262363,489007,242191,246816,29472,13925,15547,521835,257141,264694,490814,242421,248393,31021,14720,16301,526301,259047,267254,495909,244549,251360,30392,14498,15894,525952,258679,267273,496677,244712,251965,29275,13967,15308,532882,261969,270913,499491,245768,253723,33391,16201,17190,539108,264566,274542,502102,246518,255584,37006,18048,18958,541685,265630,276055,502124,246308,255816,39561,19322,20239,543193,266318,276875,501806,246083,255723,41387,20235,21152
