自治体コード,自治体,年,年齢階級,年齢開始,総数,男,女,日本人,外国人
13101,千代田区,2026,0～4,0,2573,1291,1282,2518,55
13101,千代田区,2026,5～9,5,3079,1536,1543,2952,127
13101,千代田区,2026,10～14,10,3284,1691,1593,3134,150
13101,千代田区,2026,15～19,15,2743,1384,1359,2555,188
13101,千代田区,2026,20～24,20,3432,1626,1806,2973,459
13101,千代田区,2026,25～29,25,5749,3174,2575,5084,665
13101,千代田区,2026,30～34,30,5532,2964,2568,5016,516
13101,千代田区,2026,35～39,35,5315,2745,2570,4827,488
13101,千代田区,2026,40～44,40,5928,3102,2826,5515,413
13101,千代田区,2026,45～49,45,5919,3017,2902,5570,349
13101,千代田区,2026,50～54,50,5803,2926,2877,5502,301
13101,千代田区,2026,55～59,55,4572,2266,2306,4350,222
13101,千代田区,2026,60～64,60,3639,1831,1808,3452,187
13101,千代田区,2026,65～69,65,2588,1307,1281,2493,95
13101,千代田区,2026,70～74,70,2275,1103,1172,2216,59
13101,千代田区,2026,75～79,75,2561,1134,1427,2531,30
13101,千代田区,2026,80～84,80,1856,779,1077,1837,19
13101,千代田区,2026,85～89,85,1228,408,820,1214,14
13101,千代田区,2026,90～94,90,755,206,549,749,6
13101,千代田区,2026,95～99,95,260,51,209,260,0
13101,千代田区,2026,100以上,100,48,7,41,47,1
13102,中央区,2026,0～4,0,9027,4584,4443,8580,447
13102,中央区,2026,5～9,5,8941,4489,4452,8417,524
13102,中央区,2026,10～14,10,8124,4143,3981,7618,506
13102,中央区,2026,15～19,15,5981,2997,2984,5602,379
13102,中央区,2026,20～24,20,6948,3384,3564,6264,684
13102,中央区,2026,25～29,25,14062,6945,7117,12781,1281
13102,中央区,2026,30～34,30,17077,8208,8869,15253,1824
13102,中央区,2026,35～39,35,16658,7917,8741,14606,2052
13102,中央区,2026,40～44,40,17598,8518,9080,15891,1707
13102,中央区,2026,45～49,45,17459,8284,9175,16233,1226
13102,中央区,2026,50～54,50,17341,8303,9038,16438,903
13102,中央区,2026,55～59,55,13974,6759,7215,13230,744
13102,中央区,2026,60～64,60,10625,5267,5358,10022,603
13102,中央区,2026,65～69,65,6629,3276,3353,6276,353
13102,中央区,2026,70～74,70,5404,2517,2887,5222,182
13102,中央区,2026,75～79,75,6129,2696,3433,6032,97
13102,中央区,2026,80～84,80,4202,1612,2590,4162,40
13102,中央区,2026,85～89,85,2732,875,1857,2704,28
13102,中央区,2026,90～94,90,1589,453,1136,1579,10
13102,中央区,2026,95～99,95,443,89,354,440,3
13102,中央区,2026,100以上,100,72,10,62,71,1
13103,港区,2026,0～4,0,11515,5860,5655,10676,839
13103,港区,2026,5～9,5,12663,6380,6283,11569,1094
13103,港区,2026,10～14,10,11858,5995,5863,10867,991
13103,港区,2026,15～19,15,9660,4941,4719,8878,782
13103,港区,2026,20～24,20,11194,5506,5688,9937,1257
13103,港区,2026,25～29,25,18009,8850,9159,16151,1858
13103,港区,2026,30～34,30,20580,9794,10786,17988,2592
13103,港区,2026,35～39,35,20957,9654,11303,17944,3013
13103,港区,2026,40～44,40,22703,10619,12084,19770,2933
13103,港区,2026,45～49,45,23212,11053,12159,20895,2317
13103,港区,2026,50～54,50,23838,11058,12780,21899,1939
13103,港区,2026,55～59,55,20596,9952,10644,18976,1620
13103,港区,2026,60～64,60,16164,7883,8281,15039,1125
13103,港区,2026,65～69,65,11371,5477,5894,10698,673
13103,港区,2026,70～74,70,9283,4179,5104,8881,402
13103,港区,2026,75～79,75,10538,4558,5980,10296,242
13103,港区,2026,80～84,80,7078,2722,4356,6966,112
13103,港区,2026,85～89,85,4831,1633,3198,4753,78
13103,港区,2026,90～94,90,2824,756,2068,2798,26
13103,港区,2026,95～99,95,851,161,690,845,6
13103,港区,2026,100以上,100,152,25,127,150,2
13104,新宿区,2026,0～4,0,9196,4813,4383,8323,873
13104,新宿区,2026,5～9,5,10019,5047,4972,9045,974
13104,新宿区,2026,10～14,10,10094,5165,4929,9003,1091
