年,自治体コード,自治体,他県移動増減,都内間移動増減,社会増減,出生数,死亡数,自然増減,その他増減,人口増減
2025,13101,千代田区,582,-644,-62,549,463,86,280,304
2025,13102,中央区,1382,419,1801,1920,1101,819,991,3611
2025,13103,港区,981,-1433,-452,2438,1777,661,1888,2097
2025,13104,新宿区,710,-4592,-3882,2132,2989,-857,7147,2408
2025,13105,文京区,1773,-1114,659,1761,1844,-83,1060,1636
2025,13106,台東区,1127,-1286,-159,1635,2031,-396,1983,1428
2025,13107,墨田区,1782,-1209,573,2282,2736,-454,1412,1531
2025,13108,江東区,2129,-1318,811,3622,4720,-1098,1795,1508
2025,13109,品川区,3056,-456,2600,3124,3596,-472,730,2858
2025,13110,目黒区,1446,-596,850,2068,2321,-253,610,1207
2025,13111,大田区,3525,1041,4566,4771,7404,-2633,2596,4529
2025,13112,世田谷区,3955,1285,5240,5982,7765,-1783,1999,5456
2025,13113,渋谷区,1111,-1973,-862,1646,1870,-224,564,-522
2025,13114,中野区,1949,-2061,-112,2166,3122,-956,3540,2472
2025,13115,杉並区,3733,145,3878,3663,5059,-1396,3007,5489
2025,13116,豊島区,657,-2979,-2322,1846,2570,-724,4531,1485
2025,13117,北区,1834,1349,3183,2480,3931,-1451,3611,5343
2025,13118,荒川区,860,-188,672,1500,2333,-833,2667,2506
2025,13119,板橋区,2543,942,3485,3500,6091,-2591,3720,4614
2025,13120,練馬区,2890,1714,4604,4960,7389,-2429,2457,4632
2025,13121,足立区,3016,3143,6159,4207,8745,-4538,3472,5093
2025,13122,葛飾区,1240,297,1537,2954,5398,-2444,3549,2642
2025,13123,江戸川区,1138,1517,2655,4484,7124,-2640,3829,3844
