自治体コード,都道府県,自治体,面積_km2,人口,高齢化率,人口密度
13101,東京都,千代田区,11.66,68777,16.74,5898.5
13102,東京都,中央区,10.21,190071,14.24,18616.2
13103,東京都,港区,20.36,270470,17.16,13284.4
13104,東京都,新宿区,18.22,359931,18.91,19754.7
13105,東京都,文京区,11.29,250273,18.6,22167.7
13106,東京都,台東区,10.11,225835,20.58,22337.8
13107,東京都,墨田区,13.77,285267,20.64,20716.6
13108,東京都,江東区,42.99,540872,20.78,12581.3
13109,東京都,品川区,22.85,430603,19.58,18844.8
13110,東京都,目黒区,14.67,288613,19.66,19673.7
13111,東京都,大田区,61.86,756657,22.16,12231.8
13112,東京都,世田谷区,58.05,950073,20.59,16366.5
13113,東京都,渋谷区,15.11,243865,18.67,16139.3
13114,東京都,中野区,15.59,353620,19.55,22682.5
13115,東京都,杉並区,34.06,599035,20.93,17587.6
13116,東京都,豊島区,13.01,310538,19.1,23869.2
13117,東京都,北区,20.61,369079,23.23,17907.8
13118,東京都,荒川区,10.16,225829,21.96,22227.3
13119,東京都,板橋区,32.22,597060,22.72,18530.7
13120,東京都,練馬区,48.08,762276,21.98,15854.3
13121,東京都,足立区,53.25,706585,24.17,13269.2
13122,東京都,葛飾区,34.8,461343,24.08,13257.0
13123,東京都,江戸川区,49.9,698320,21.17,13994.4
