自治体コード,自治体,年,人口,高齢化率
13101,千代田区,2015,56873,18.63
13102,中央区,2015,138088,16.35
13103,港区,2015,240585,17.35
13104,新宿区,2015,327712,20.01
13105,文京区,2015,207413,20.0
13106,台東区,2015,189795,23.76
13107,墨田区,2015,258423,22.7
13108,江東区,2015,493952,21.08
13109,品川区,2015,372077,21.04
13110,目黒区,2015,269689,19.95
13111,大田区,2015,707455,22.34
13112,世田谷区,2015,874332,19.96
13113,渋谷区,2015,217008,19.16
13114,中野区,2015,316625,20.87
13115,杉並区,2015,547165,21.02
13116,豊島区,2015,275507,20.4
13117,北区,2015,338084,25.4
13118,荒川区,2015,209087,23.16
13119,板橋区,2015,544172,22.55
13120,練馬区,2015,714656,21.33
13121,足立区,2015,674111,24.15
13122,葛飾区,2015,449527,24.08
13123,江戸川区,2015,680262,20.3
13101,千代田区,2016,58576,18.29
13102,中央区,2016,142995,16.18
13103,港区,2016,243977,17.4
13104,新宿区,2016,334193,19.92
13105,文京区,2016,210312,20.01
13106,台東区,2016,191749,23.74
13107,墨田区,2016,261723,22.82
13108,江東区,2016,501501,21.33
13109,品川区,2016,378123,21.13
13110,目黒区,2016,271469,19.98
13111,大田区,2016,712057,22.62
13112,世田谷区,2016,883289,20.1
13113,渋谷区,2016,219898,19.15
13114,中野区,2016,321734,20.77
13115,杉並区,2016,553288,21.11
13116,豊島区,2016,280639,20.37
13117,北区,2016,341252,25.55
13118,荒川区,2016,211271,23.38
13119,板橋区,2016,550758,22.8
13120,練馬区,2016,719109,21.56
13121,足立区,2016,678623,24.45
13122,葛飾区,2016,452789,24.39
13123,江戸川区,2016,686387,20.61
13101,千代田区,2017,59788,18.04
13102,中央区,2017,149640,15.85
13103,港区,2017,249242,17.31
13104,新宿区,2017,338488,19.8
13105,文京区,2017,213969,19.83
13106,台東区,2017,193822,23.6
13107,墨田区,2017,265238,22.73
13108,江東区,2017,506511,21.49
13109,品川区,2017,382761,21.12
13110,目黒区,2017,273708,19.96
13111,大田区,2017,717295,22.74
13112,世田谷区,2017,892535,20.17
13113,渋谷区,2017,222278,19.1
13114,中野区,2017,325460,20.76
13115,杉並区,2017,558950,21.06
13116,豊島区,2017,284307,20.21
13117,北区,2017,345149,25.43
13118,荒川区,2017,213113,23.41
13119,板橋区,2017,557309,22.92
13120,練馬区,2017,723711,21.69
13121,足立区,2017,681281,24.71
13122,葛飾区,2017,456893,24.46
13123,江戸川区,2017,691514,20.82
13101,千代田区,2018,61269,17.79
13102,中央区,2018,156823,15.46
13103,港区,2018,253639,17.2
13104,新宿区,2018,342297,19.72
13105,文京区,2018,217419,19.7
13106,台東区,2018,196134,23.44
13107,墨田区,2018,268898,22.58
13108,江東区,2018,513197,21.52
13109,品川区,2018,387622,21.01
13110,目黒区,2018,276784,19.82
13111,大田区,2018,723341,22.77
13112,世田谷区,2018,900107,20.21
13113,渋谷区,2018,224680,18.95
13114,中野区,2018,328683,20.64
13115,杉並区,2018,564489,21.04
13116,豊島区,2018,287111,20.06
13117,北区,2018,348030,25.28
13118,荒川区,2018,214644,23.4
13119,板橋区,2018,561713,23.04
13120,練馬区,2018,728479,21.75
13121,足立区,2018,685447,24.8
13122,葛飾区,2018,460423,24.49
13123,江戸川区,2018,695366,20.97
13101,千代田区,2019,63635,17.27
13102,中央区,2019,162502,15.11
13103,港区,2019,257426,17.01
13104,新宿区,2019,346162,19.52
13105,文京区,2019,221489,19.4
13106,台東区,2019,199292,23.1
13107,墨田区,2019,271859,22.45
13108,江東区,2019,518479,21.54
13109,品川区,2019,394700,20.69
13110,目黒区,2019,279342,19.7
13111,大田区,2019,729534,22.7
13112,世田谷区,2019,908907,20.16
13113,渋谷区,2019,226594,18.83
13114,中野区,2019,331658,20.49
13115,杉並区,2019,569132,20.93
13116,豊島区,2019,289508,19.86
13117,北区,2019,351976,24.93
13118,荒川区,2019,215966,23.24
13119,板橋区,2019,566890,23.08
13120,練馬区,2019,732433,21.78
13121,足立区,2019,688512,24.82
13122,葛飾区,2019,462591,24.52
13123,江戸川区,2019,698031,21.03
13101,千代田区,2020,65942,16.85
13102,中央区,2020,168361,14.82
13103,港区,2020,260379,16.92
13104,新宿区,2020,348452,19.4
13105,文京区,2020,226114,19.11
13106,台東区,2020,202431,22.8
13107,墨田区,2020,274896,22.23
13108,江東区,2020,521835,21.53
13109,品川区,2020,401704,20.37
13110,目黒区,2020,281474,19.62
13111,大田区,2020,734493,22.62
13112,世田谷区,2020,917486,20.08
13113,渋谷区,2020,229671,18.67
13114,中野区,2020,335234,20.25
13115,杉並区,2020,574118,20.83
